Latitude,Longitude,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3
41.10723,29.02949,48.0,-84.4,-11.0,6.9,76.0,,,,-96.9,,,,-16.1,,,
41.10723,29.02949,48.0,-85.1,-11.2,,76.0,,,,-95.3,,,,-16.2,,,
41.10723,29.02949,48.0,-86.2,-11.5,5.6,76.0,,,,-96.6,,,,-17.5,,,
41.10723,29.02949,48.0,-86.7,-11.6,9.9,76.0,,,,-96.1,,,,-16.3,,,
41.10723,29.02949,48.0,-85.8,-10.6,13.4,76.0,,,,-100.4,,,,-17.8,,,
41.10723,29.02949,48.0,-86.7,-10.5,10.6,76.0,,,,-100.0,,,,-16.3,,,
41.10723,29.02949,48.0,-88.5,-10.6,12.6,76.0,,,,-98.8,,,,-17.4,,,
41.10723,29.02949,48.0,-86.2,-10.5,11.6,76.0,,,,-97.8,,,,-14.3,,,
41.10723,29.02949,48.0,-87.1,-10.7,11.8,76.0,,,,-95.9,,,,-12.2,,,
41.10723,29.02949,48.0,-88.8,-10.9,12.2,76.0,,,,-97.3,,,,-14.9,,,
41.10723,29.02949,48.0,-86.0,-10.7,10.2,76.0,,,,-95.7,,,,-13.8,,,
41.10723,29.02949,48.0,-89.9,-11.1,10.8,76.0,,,,-96.0,,,,-17.0,,,
41.10723,29.02949,48.0,-88.3,-10.7,9.2,76.0,,,,-97.5,,,,-18.4,,,
41.10723,29.02949,48.0,-90.4,-11.1,9.7,76.0,,,,-96.4,,,,-17.4,,,
41.10723,29.02949,48.0,-87.5,-10.8,8.6,76.0,,,,-96.0,,,,-17.2,,,
41.10722,29.02947,48.0,-90.1,-11.1,8.7,76.0,,,,-96.2,,,,-17.3,,,
41.10722,29.02947,48.0,-87.8,-11.2,8.1,76.0,,,,-94.8,,,,-15.2,,,
41.10724,29.02944,48.0,-90.7,-11.6,9.1,76.0,,,,-96.5,,,,-15.9,,,
41.10724,29.02944,48.0,-88.0,-11.1,6.5,76.0,,,,-95.7,,,,-15.1,,,
41.10725,29.02941,48.0,-91.9,-12.1,4.8,76.0,,,,-95.0,,,,-14.3,,,
41.10725,29.02941,48.0,-91.4,-12.5,4.5,76.0,,,,-91.0,,,,-13.0,,,
41.10727,29.02938,48.0,-92.8,-13.2,4.7,76.0,,,,-90.7,,,,-13.3,,,
41.10727,29.02938,48.0,-91.2,-12.7,6.2,76.0,,,,-91.9,,,,-13.3,,,
41.10728,29.02934,48.0,-91.3,-12.6,4.4,76.0,,,,-91.8,,,,-13.2,,,
41.10728,29.02934,48.0,-89.8,-12.0,5.1,76.0,,,,-93.8,,,,-14.1,,,
41.10727,29.0293,48.0,-89.0,-11.9,6.4,76.0,,,,-91.8,,,,-13.6,,,
41.10727,29.0293,48.0,-88.3,-11.9,6.2,76.0,,,,-92.1,,,,-14.3,,,
41.10725,29.02925,48.0,-87.9,-11.7,6.5,76.0,,,,-92.7,,,,-15.4,,,
41.10725,29.02925,48.0,-88.4,-12.0,6.6,76.0,,,,-89.6,,,,-14.1,,,
41.10722,29.02922,48.0,-87.1,-11.5,7.0,76.0,,,,-87.8,,,,-13.8,,,
41.10722,29.02922,48.0,-85.7,-11.5,6.4,76.0,,,,-90.1,,,,-14.7,,,
41.10718,29.02917,48.0,-87.4,-12.0,5.1,76.0,,,,-85.9,,,,-12.0,,,
41.10718,29.02917,48.0,-86.8,-12.5,4.9,76.0,,,,-90.5,,,,-14.9,,,
41.10714,29.0291,48.0,-87.3,-12.9,2.9,76.0,,,,-86.3,,,,-13.0,,,
41.10714,29.0291,48.0,-86.9,-13.5,2.0,76.0,,,,-86.4,,,,-12.9,,,
41.10709,29.02904,48.0,-87.5,-13.1,5.6,76.0,,,,-87.9,,,,-13.1,,,
41.10709,29.02904,48.0,-85.6,-12.0,6.2,76.0,,,,-91.5,,,,-15.2,,,
41.10703,29.02897,48.0,-87.5,-12.5,5.2,76.0,,,,-90.9,,,,-14.0,,,
41.10703,29.02897,48.0,-88.4,-12.3,4.2,76.0,,,,-90.6,,,,-13.6,,,
41.10697,29.02888,48.0,-88.1,-12.7,3.6,76.0,,,,-89.0,,,,-13.2,,,
41.10697,29.02888,48.0,-88.3,-12.9,2.5,59.0,76.0,,,-92.1,-88.6,,,-15.3,-13.3,,
41.1069,29.0288,48.0,-89.6,-13.5,0.8,59.0,76.0,,,-95.6,-86.8,,,-18.6,-12.6,,
41.1069,29.0288,48.0,-89.4,-15.4,0.4,76.0,,,,-84.8,,,,-11.9,,,
41.10684,29.02873,48.0,-90.0,-14.6,2.2,76.0,,,,-86.9,,,,-11.6,,,
41.10684,29.02873,48.0,-83.9,-13.0,3.1,76.0,,,,-80.2,,,,-12.1,,,
41.10679,29.02866,48.0,-78.8,-12.4,0.8,76.0,,,,-81.4,,,,-13.2,,,
41.10679,29.02866,48.0,-87.6,-15.5,-2.1,76.0,,,,-82.6,,,,-11.4,,,
41.10676,29.02862,48.0,-88.1,-15.0,-2.0,76.0,,,,-79.7,,,,-11.1,,,
41.10673,29.02858,76.0,-77.4,-10.8,9.9,48.0,,,,-84.5,,,,-17.5,,,
41.10668,29.02851,76.0,-74.5,-10.8,12.7,48.0,,,,-83.4,,,,-20.1,,,
41.10668,29.02851,76.0,-73.5,-10.6,11.7,48.0,,,,-83.2,,,,-17.4,,,
41.10663,29.02845,76.0,-81.9,-11.8,8.2,48.0,,,,-85.9,,,,-15.8,,,
41.10663,29.02845,76.0,-79.5,-12.6,3.3,48.0,,,,-81.4,,,,-13.2,,,
41.10657,29.02838,76.0,-79.6,-14.0,5.6,48.0,,,,-80.8,,,,-13.3,,,
41.10657,29.02838,76.0,-78.2,-11.9,7.0,48.0,,,,-81.6,,,,-14.6,,,
41.10653,29.02833,76.0,-79.8,-11.2,11.0,48.0,,,,-86.0,,,,-16.1,,,
41.10653,29.02833,76.0,-77.0,-10.6,12.7,48.0,,,,-85.4,,,,-17.8,,,
41.10649,29.02828,76.0,-75.7,-10.6,14.3,48.0,,,,-82.6,,,,-16.1,,,
41.10649,29.02828,76.0,-79.7,-11.4,9.6,48.0,,,,-85.9,,,,-14.6,,,
41.10646,29.02823,76.0,-80.9,-11.3,8.9,48.0,,,,-84.4,,,,-14.2,,,
41.10646,29.02823,76.0,-81.9,-11.6,9.5,48.0,,,,-88.2,,,,-16.3,,,
41.10642,29.02818,76.0,-81.9,-11.0,12.2,48.0,,,,-88.7,,,,-20.1,,,
41.10642,29.02818,76.0,-80.6,-10.7,13.3,48.0,,,,-90.7,,,,-19.0,,,
41.10637,29.02813,76.0,-83.4,-10.8,14.2,48.0,,,,-92.6,,,,-19.2,,,
41.10637,29.02813,76.0,-83.9,-10.8,16.0,48.0,,,,-93.7,,,,-20.7,,,
41.10632,29.02805,76.0,-79.3,-10.5,20.5,48.0,,,,-89.8,,,,-22.2,,,
41.1063,29.02802,76.0,-79.1,-10.5,17.3,48.0,,,,-90.5,,,,-18.5,,,
41.10627,29.02798,76.0,-84.3,-10.7,17.3,48.0,,,,-93.2,,,,-18.5,,,
41.10625,29.02795,76.0,-82.2,-10.5,18.6,48.0,,,,-98.0,,,,-22.5,,,
41.10623,29.02792,76.0,-81.1,-10.5,23.2,48.0,,,,-110.1,,,,-28.9,,,
41.10623,29.02792,76.0,-76.2,-10.4,26.0,48.0,,,,-100.7,,,,-22.8,,,
41.10619,29.02788,76.0,-73.5,-10.4,24.1,,,,,,,,,,,,
41.10619,29.02788,76.0,-78.6,-10.4,26.2,,,,,,,,,,,,
41.10617,29.02784,76.0,-73.0,-10.3,27.0,,,,,,,,,,,,
41.10616,29.02782,76.0,-71.9,-10.4,26.4,,,,,,,,,,,,
41.10614,29.02781,76.0,-71.9,-10.4,26.6,,,,,,,,,,,,
41.10613,29.02779,76.0,-70.2,-10.4,26.4,,,,,,,,,,,,
41.10612,29.02778,76.0,-71.0,-10.4,24.6,,,,,,,,,,,,
41.1061,29.02778,76.0,-72.3,-10.4,23.2,,,,,,,,,,,,
41.10609,29.02777,76.0,-74.3,-10.4,25.1,,,,,,,,,,,,
41.10609,29.02777,76.0,-74.1,-10.4,24.5,,,,,,,,,,,,
41.10605,29.02777,76.0,-74.8,-10.4,21.4,,,,,,,,,,,,
41.10605,29.02777,76.0,-77.7,-10.4,16.3,,,,,,,,,,,,
41.10601,29.02777,76.0,-78.6,-10.5,17.5,,,,,,,,,,,,
41.10601,29.02777,76.0,-77.4,-10.6,16.7,,,,,,,,,,,,
41.10596,29.02778,76.0,-77.5,-10.6,18.9,,,,,,,,,,,,
41.10593,29.02779,76.0,-79.4,-10.5,17.7,,,,,,,,,,,,
41.1059,29.02779,76.0,-79.2,-10.5,20.3,,,,,,,,,,,,
41.10587,29.0278,76.0,-75.4,-10.4,24.3,,,,,,,,,,,,
41.10584,29.02781,76.0,-75.2,-10.5,25.6,,,,,,,,,,,,
41.10584,29.02781,76.0,-72.3,-10.5,25.5,,,,,,,,,,,,
41.10577,29.02781,76.0,-69.4,-10.4,24.3,,,,,,,,,,,,
41.10574,29.02781,76.0,-72.9,-10.6,25.1,,,,,,,,,,,,
41.10571,29.02781,76.0,-69.2,-10.6,20.2,,,,,,,,,,,,
41.10567,29.02781,76.0,-72.5,-10.6,16.2,68.0,,,,-85.0,,,,-16.6,,,
41.10564,29.0278,76.0,-76.7,-11.4,11.7,68.0,,,,-83.2,,,,-15.6,,,
41.10561,29.02778,76.0,-76.9,-11.1,8.8,68.0,,,,-82.7,,,,-15.2,,,
41.10558,29.02777,76.0,-79.3,-11.4,6.9,68.0,,,,-82.9,,,,-15.7,,,
41.10555,29.02775,76.0,-80.4,-12.3,4.8,68.0,,,,-80.4,,,,-13.1,,,
41.10552,29.02773,76.0,-80.3,-12.2,2.3,68.0,,,,-80.3,,,,-12.1,,,
41.10552,29.02773,76.0,-82.7,-15.1,2.1,68.0,,,,-77.6,,,,-11.4,,,
41.10546,29.02769,76.0,-81.3,-15.0,-2.3,68.0,,,,-75.7,,,,-11.0,,,
41.10544,29.02766,76.0,-82.8,-16.1,-5.7,68.0,,,,-71.9,,,,-10.7,,,
41.10544,29.02766,76.0,-83.2,-21.6,-14.2,68.0,,,,-66.5,,,,-10.4,,,
41.10542,29.02764,68.0,-65.0,-10.4,26.3,76.0,,,,-82.0,,,,-20.4,,,
41.10538,29.02758,68.0,-67.4,-10.4,24.3,76.0,,,,-84.1,,,,-21.8,,,
41.10536,29.02755,68.0,-65.9,-10.4,24.5,76.0,,,,-93.4,,,,-25.1,,,
41.10534,29.02753,68.0,-65.9,-10.4,23.7,76.0,,,,-96.6,,,,-23.1,,,
41.10534,29.02753,68.0,-63.6,-10.4,29.0,,,,,,,,,,,,
41.10532,29.02746,68.0,-63.2,-10.4,27.3,,,,,,,,,,,,
41.10531,29.02743,68.0,-63.3,-10.4,26.3,,,,,,,,,,,,
41.1053,29.0274,68.0,-63.2,-10.4,28.6,,,,,,,,,,,,
41.1053,29.02736,68.0,-68.2,-10.4,26.8,,,,,,,,,,,,
41.10529,29.02732,68.0,-65.2,-10.4,28.8,,,,,,,,,,,,
41.10529,29.02732,68.0,-67.3,-10.4,25.9,,,,,,,,,,,,
41.10528,29.02723,68.0,-69.2,-10.4,21.5,,,,,,,,,,,,
41.10528,29.02718,68.0,-72.4,-10.4,20.3,,,,,,,,,,,,
41.10527,29.02713,68.0,-76.5,-10.5,21.6,,,,,,,,,,,,
41.10527,29.02713,68.0,-73.3,-10.4,21.7,,,,,,,,,,,,
41.10526,29.02705,68.0,-73.1,-10.4,23.4,,,,,,,,,,,,
41.10525,29.027,68.0,-73.6,-10.4,26.7,,,,,,,,,,,,
41.10525,29.02696,68.0,-74.4,-10.4,25.6,,,,,,,,,,,,
41.10524,29.02691,68.0,-74.5,-10.4,29.7,,,,,,,,,,,,
41.10524,29.02686,68.0,-71.4,-10.4,28.1,,,,,,,,,,,,
41.10523,29.02681,68.0,-73.6,-10.4,29.3,,,,,,,,,,,,
41.10522,29.02677,68.0,-74.3,-10.4,30.4,,,,,,,,,,,,
41.10522,29.02677,68.0,-71.2,-10.4,31.4,,,,,,,,,,,,
41.10521,29.02668,68.0,-69.9,-10.4,32.0,,,,,,,,,,,,
41.10521,29.02668,68.0,-70.4,-10.4,31.9,,,,,,,,,,,,
41.10519,29.02659,68.0,-70.6,-10.3,31.6,,,,,,,,,,,,
