Latitude,Longitude,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3
41.10723,29.02949,48.0,-80.7,-10.5,12.0,76.0,,,,-93.6,,,,-20.6,,,
41.10723,29.02949,48.0,-79.9,-10.5,9.9,76.0,,,,-91.2,,,,-19.4,,,
41.10723,29.02949,48.0,-81.5,-10.8,7.5,76.0,,,,-91.8,,,,-18.4,,,
41.10723,29.02949,48.0,-81.8,-10.9,9.2,,,,,,,,,,,,
41.10723,29.02949,48.0,-82.6,-10.5,10.2,76.0,,,,-95.0,,,,-16.9,,,
41.10723,29.02949,48.0,-82.8,-10.6,11.6,76.0,,,,-93.5,,,,-18.4,,,
41.10723,29.02949,48.0,-80.4,-10.4,12.4,76.0,,,,-93.9,,,,-18.4,,,
41.10723,29.02949,48.0,-81.2,-10.5,10.3,76.0,,,,-93.9,,,,-18.0,,,
41.10723,29.02949,48.0,-82.9,-10.6,9.6,76.0,,,,-92.4,,,,-18.9,,,
41.10723,29.02949,48.0,-82.6,-10.5,9.8,76.0,,,,-93.2,,,,-21.1,,,
41.10723,29.02949,48.0,-83.2,-10.7,9.8,76.0,,,,-93.4,,,,-16.7,,,
41.10723,29.02949,48.0,-80.5,-10.6,9.9,76.0,,,,-96.1,,,,-20.6,,,
41.10723,29.02949,48.0,-85.2,-11.1,9.7,76.0,,,,-95.4,,,,-18.8,,,
41.10723,29.02949,48.0,-88.0,-11.3,8.2,76.0,,,,-96.9,,,,-18.5,,,
41.10723,29.02949,48.0,-87.8,-11.6,8.5,76.0,,,,-95.6,,,,-17.7,,,
41.10723,29.02949,48.0,-87.5,-11.1,8.3,76.0,,,,-97.1,,,,-17.0,,,
41.10722,29.02947,48.0,-89.9,-11.6,7.7,76.0,,,,-93.9,,,,-16.3,,,
41.10722,29.02947,48.0,-87.7,-11.6,8.1,76.0,,,,-95.4,,,,-15.0,,,
