Latitude,Longitude,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Throughput_PDCP_DL,NR_UE_RB_Num_DL_0,NR_UE_Pathloss_DL_0,NR_UE_Power_Tx_PUSCH_0,App_Throughput_DL,NR_UE_PCI_0_lat,NR_UE_PCI_0_lon,NR_UE_PCI_0_azimuth,NR_UE_PCI_0_height,NR_UE_Nbr_PCI_0_lat,NR_UE_Nbr_PCI_0_lon,NR_UE_Nbr_PCI_0_azimuth,NR_UE_Nbr_PCI_0_height,NR_UE_Nbr_PCI_1_lat,NR_UE_Nbr_PCI_1_lon,NR_UE_Nbr_PCI_1_azimuth,NR_UE_Nbr_PCI_1_height,NR_UE_Nbr_PCI_2_lat,NR_UE_Nbr_PCI_2_lon,NR_UE_Nbr_PCI_2_azimuth,NR_UE_Nbr_PCI_2_height,NR_UE_Nbr_PCI_3_lat,NR_UE_Nbr_PCI_3_lon,NR_UE_Nbr_PCI_3_azimuth,NR_UE_Nbr_PCI_3_height
41.09895,29.025400000000005,68,-131.7,-19.8,-8.7,40,0,0,0,-134.7,-200.0,-200.0,-200.0,-23.0,-30.0,-30.0,-30.0,4239.36,239.5,152.60000000000002,22.5,5765.55,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02551,68,-135.5,-23.3,-8.3,40,0,0,0,-136.9,-200.0,-200.0,-200.0,-25.0,-30.0,-30.0,-30.0,5222.4,258.0,153.1,22.5,,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02557,68,-135.2,-22.9,-12.0,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,152.4,22.5,4829.57,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02564,68,-135.2,-22.8,-9.3,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,3123.265,262.5,154.8,22.5,,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02529,68,-131.2,-19.700000000000003,-9.05,40,0,0,0,-140.35,-200.0,-200.0,-200.0,-28.0,-30.0,-30.0,-30.0,8540.16,239.5,151.45,22.5,6653.94,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02569,68,-132.4,-20.3,-10.3,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,151.3,22.5,1448.09,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02575,68,-135.4,-23.0,-9.850000000000001,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,2048.015,232.5,153.2,22.5,346.71,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09897,29.02587,68,-131.5,-19.4,-7.5,40,0,0,0,-133.7,-200.0,-200.0,-200.0,-20.8,-30.0,-30.0,-30.0,1904.6399999999999,233.0,154.05,22.5,1705.92,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09898,29.025230000000004,68,-130.9,-19.3,-7.0,40,0,0,0,-133.2,-200.0,-200.0,-200.0,-21.6,-30.0,-30.0,-30.0,,,147.9,22.5,10446.66,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899000000001,29.02517,68,-128.3,-16.8,-6.8,40,0,0,0,-131.0,-200.0,-200.0,-200.0,-19.6,-30.0,-30.0,-30.0,6379.615,177.5,147.3,22.5,,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899,29.02598,68,-136.0,-23.8,-11.55,40,0,0,0,-133.5,-200.0,-200.0,-200.0,-20.9,-30.0,-30.0,-30.0,819.1999999999999,239.0,155.0,22.5,,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09902,29.026099999999992,68,-131.4,-19.9,-4.5,40,0,0,0,-135.9,-200.0,-200.0,-200.0,-23.1,-30.0,-30.0,-30.0,1454.08,227.0,151.55,22.5,,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09903,29.02493,68,-127.85,-16.549999999999997,-3.9000000000000004,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,12277.585,114.5,144.7,22.4,14976.83,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09903,29.026369999999996,3,-150.45,-37.400000000000006,-17.299999999999997,38,278,0,0,-103.0,-108.1,-200.0,-200.0,-10.5,-11.1,-30.0,-30.0,0.0,36.0,,,,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09904,29.02617,68,-127.7,-16.2,-7.0,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,,,99.17,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09905,29.02486,68,-126.9,-15.8,-3.0,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,144.3,22.4,8301.64,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09906,29.02623,68,-135.4,-22.7,-6.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,901.12,226.0,148.1,22.5,694.26,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09906999999999,29.0248,68,-126.7,-15.7,-3.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,11366.400000000001,118.5,143.6,22.4,,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09911,29.02464,68,-123.9,-14.45,-2.0999999999999996,59,0,0,0,-142.2,-200.0,-200.0,-200.0,-30.7,-30.0,-30.0,-30.0,15124.48,98.0,140.64999999999998,22.35,26858.27,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09914,29.0267,3,-145.35000000000002,-32.4,-12.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,1.025,16.0,157.1,22.5,,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09915,29.02651,68,-132.45,-20.15,-10.55,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,20.48,207.0,151.7,22.5,,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09916,29.02449,68,-118.2,-12.05,2.75,59,0,0,0,-138.45,-200.0,-200.0,-200.0,-28.85,-30.0,-30.0,-30.0,59228.16,109.0,136.2,22.200000000000003,68986.04,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0991,29.026369999999996,68,-132.8,-20.5,-7.25,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,409.6,191.0,148.9,22.5,,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0991,29.02663,3,-143.8,-30.9,-18.0,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,,,,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
