Latitude,Longitude,NR_UE_PCI_0,NR_UE_RSRP_0,NR_UE_RSRQ_0,NR_UE_SINR_0,NR_UE_Nbr_PCI_0,NR_UE_Nbr_PCI_1,NR_UE_Nbr_PCI_2,NR_UE_Nbr_PCI_3,NR_UE_Nbr_RSRP_0,NR_UE_Nbr_RSRP_1,NR_UE_Nbr_RSRP_2,NR_UE_Nbr_RSRP_3,NR_UE_Nbr_RSRQ_0,NR_UE_Nbr_RSRQ_1,NR_UE_Nbr_RSRQ_2,NR_UE_Nbr_RSRQ_3,NR_UE_Throughput_PDCP_DL,NR_UE_RB_Num_DL_0,NR_UE_Pathloss_DL_0,NR_UE_Power_Tx_PUSCH_0,App_Throughput_UL,NR_UE_PCI_0_lat,NR_UE_PCI_0_lon,NR_UE_PCI_0_azimuth,NR_UE_PCI_0_height,NR_UE_Nbr_PCI_0_lat,NR_UE_Nbr_PCI_0_lon,NR_UE_Nbr_PCI_0_azimuth,NR_UE_Nbr_PCI_0_height,NR_UE_Nbr_PCI_1_lat,NR_UE_Nbr_PCI_1_lon,NR_UE_Nbr_PCI_1_azimuth,NR_UE_Nbr_PCI_1_height,NR_UE_Nbr_PCI_2_lat,NR_UE_Nbr_PCI_2_lon,NR_UE_Nbr_PCI_2_azimuth,NR_UE_Nbr_PCI_2_height,NR_UE_Nbr_PCI_3_lat,NR_UE_Nbr_PCI_3_lon,NR_UE_Nbr_PCI_3_azimuth,NR_UE_Nbr_PCI_3_height
41.09889,29.02538,38,-104.3,-10.6,,68,278,0,0,-128.6,-103.9,-200.0,-200.0,-15.7,-10.7,-30.0,-30.0,,,,,,0.0,0.0,0.0,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09892,29.02584,38,-99.5,-10.65,,278,0,0,0,-104.1,-200.0,-200.0,-200.0,-11.149999999999999,-30.0,-30.0,-30.0,,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02497,278,-108.43333333333334,-10.6,6.1,38,0,0,0,-110.03333333333335,-200.0,-200.0,-200.0,-12.5,-30.0,-30.0,-30.0,,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.0254,68,-132.4,-20.2,-9.3,40,0,0,0,-131.0,-200.0,-200.0,-200.0,-19.0,-30.0,-30.0,-30.0,0.0,16.0,151.0,22.5,0.0,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.025510000000004,68,-137.55,-25.25,-11.45,40,0,0,0,-134.0,-200.0,-200.0,-200.0,-21.4,-30.0,-30.0,-30.0,0.0,16.0,154.3,22.5,0.0,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02557,68,-134.7,-22.4,-11.1,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,1.22,16.0,,,,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895,29.02564,68,-136.7,-24.3,-11.3,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,16.0,153.1,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895999999999,29.025289999999995,68,-132.86666666666667,-20.866666666666664,-7.633333333333333,40,0,0,0,-132.9,-200.0,-200.0,-200.0,-20.9,-30.0,-30.0,-30.0,0.36333333333333334,16.0,150.46666666666667,22.5,0.0,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.02569,68,-142.5,-29.9,-13.3,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.64,15.0,,,,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896,29.025749999999995,68,-141.8,-29.0,-11.5,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,15.5,154.5,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09897,29.02587,68,-132.95,-21.0,-6.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,16.0,152.8,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899,29.02517,68,-132.6,-20.8,-6.3,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,1.375,19.5,147.9,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899,29.025979999999997,68,-130.65,-19.1,-7.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,16.0,154.25,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09899,29.02619,278,-106.9,-11.2,,38,0,0,0,-100.30000000000001,-200.0,-200.0,-200.0,-10.45,-30.0,-30.0,-30.0,,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09902,29.026099999999996,68,-134.35,-22.35,-9.05,40,0,0,0,-132.0,-200.0,-200.0,-200.0,-19.1,-30.0,-30.0,-30.0,0.64,16.0,155.0,22.5,0.0,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09903,29.02493,68,-124.5,-14.5,-5.6,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,5.984999999999999,18.0,142.2,22.45,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09906,29.02623,68,-135.8,-23.4,-8.3,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,0.0,,152.8,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09907,29.024800000000003,68,-125.8,-15.25,-1.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,2.045,16.5,143.75,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09911,29.02464,68,-125.55000000000001,-15.2,-2.75,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,2.56,18.0,140.35,22.45,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09916,29.02449,68,-120.65,-12.899999999999999,2.0,59,0,0,0,-139.85000000000002,-200.0,-200.0,-200.0,-29.2,-30.0,-30.0,-30.0,8.64,16.5,136.1,22.25,0.0,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0991,29.02637,68,-141.4,-28.75,-12.65,38,278,0,0,-103.6,-109.7,-200.0,-200.0,-10.5,-11.5,-30.0,-30.0,0.0,36.0,154.7,22.5,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09921,29.02684,3,-140.85,-28.5,-12.5,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,,,,,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09925,29.024160000000002,68,-121.5,-13.0,2.5,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,6.43,16.5,139.5,22.4,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09927,29.0236,278,-101.6,-10.25,18.4,38,0,0,0,-115.3,-200.0,-200.0,-200.0,-12.0,-30.0,-30.0,-30.0,,36.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09929,29.024,68,-121.1,-13.0,1.4,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,8.355,17.0,139.5,22.4,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0992,29.024329999999996,68,-118.85,-12.05,5.5,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,13.38,16.5,134.3,22.1,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09932,29.0233,278,-104.6,-10.3,,38,0,0,0,-120.4,-200.0,-200.0,-200.0,-15.4,-30.0,-30.0,-30.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09933,29.02383,68,-123.25,-13.9,-0.25,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,7.9350000000000005,17.0,140.35,22.4,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09935,29.02709,3,-133.7,-19.0,3.0,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,,33.0,,,,41.1043417,29.0217472,300.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09937,29.02367,68,-122.2,-13.5,-0.09999999999999998,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,8.605,16.5,137.95,22.4,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09938,29.02304,278,-106.4,-10.2,15.6,38,0,0,0,-126.3,-200.0,-200.0,-200.0,-19.9,-30.0,-30.0,-30.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09939,29.02351,68,-122.7,-13.7,-0.25,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,9.405,16.0,138.25,22.4,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09942,29.027210000000004,278,-113.875,-11.8,,29,38,0,0,-117.3,-111.9,-200.0,-200.0,-12.925,-11.8,-30.0,-30.0,,36.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09942999999999,29.023199999999996,68,-121.55000000000001,-13.15,0.25,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,13.086666666666666,17.0,137.53333333333333,22.366666666666664,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09945,29.02306,68,-119.3,-12.5,2.05,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,12.67,16.5,135.55,22.3,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0994,29.023339999999997,68,-123.05,-13.850000000000001,-0.15000000000000002,0,0,0,0,-200.0,-200.0,-200.0,-200.0,-30.0,-30.0,-30.0,-30.0,12.16,17.0,138.0,22.4,15855.97,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09953,29.02987,38,-108.2,-11.2,,278,0,0,0,-113.8,-200.0,-200.0,-200.0,-11.8,-30.0,-30.0,-30.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09955,29.02279,68,-117.94999999999999,-12.05,3.0,59,0,0,0,-129.14999999999998,-200.0,-200.0,-200.0,-21.7,-30.0,-30.0,-30.0,12.845,16.0,133.65,22.2,0.0,41.1054694,29.0278333,255.0,18.0,41.1080861,29.0281222,230.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0995,29.02276,278,-102.3,-10.4,,38,0,0,0,-124.6,-200.0,-200.0,-200.0,-19.2,-30.0,-30.0,-30.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
