,DL_Missing%,UL_Missing%,Scanner_Missing%
App_Throughput_DL,98.67301519663924,,
App_Throughput_UL,,98.65230159966183,
Distance,99.09172174541345,98.91038334037867,96.95479507306631
GPS_Confidence,99.09125857445241,98.90982712973057,
Latitude,0.0018526838441337082,0.002224842592386589,0.006205206167974931
Longitude,0.0018526838441337082,0.002224842592386589,0.006205206167974931
Message,0.0,0.0,0.0
NAS_5GS_MM_MessageType,99.9902734098183,99.97663915277994,
NAS_5GS_SM_MessageType,99.99907365807793,,
NR_RRC_MsgType,99.77675159678189,99.62956370836763,
NR_Scan_NR_ARFCN,,,66.41897552046167
NR_Scan_PCI_SortedBy_RSRP_0,,,70.7424529179982
NR_Scan_PCI_SortedBy_RSRP_1,,,74.69982315162422
NR_Scan_PCI_SortedBy_RSRP_2,,,80.70491142068195
NR_Scan_PCI_SortedBy_RSRP_3,,,86.88839936706897
NR_Scan_PCI_SortedBy_RSRP_4,,,92.59098383543794
NR_Scan_PCI_SortedBy_RSRP_5,,,96.20706772982533
NR_Scan_PCI_SortedBy_RSRP_6,,,99.29260649685085
NR_Scan_SSB_RSRP_SortedBy_RSRP_0,,,70.74400421954019
NR_Scan_SSB_RSRP_SortedBy_RSRP_1,,,74.69982315162422
NR_Scan_SSB_RSRP_SortedBy_RSRP_2,,,80.70491142068195
NR_Scan_SSB_RSRP_SortedBy_RSRP_3,,,86.88839936706897
NR_Scan_SSB_RSRP_SortedBy_RSRP_4,,,92.59098383543794
NR_Scan_SSB_RSRP_SortedBy_RSRP_5,,,96.20706772982533
NR_Scan_SSB_RSRP_SortedBy_RSRP_6,,,99.29260649685085
NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,,,70.74400421954019
NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,,,75.48788433495703
NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,,,82.49666470168472
NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,,,88.80425677143123
NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,,,93.86305109987279
NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,,,97.15956687660947
NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,,,99.506686109646
NR_Scan_SSB_SINR_SortedBy_RSRP_0,,,70.74400421954019
NR_Scan_SSB_SINR_SortedBy_RSRP_1,,,74.72154137321213
NR_Scan_SSB_SINR_SortedBy_RSRP_2,,,80.7421426576898
NR_Scan_SSB_SINR_SortedBy_RSRP_3,,,86.94114361949676
NR_Scan_SSB_SINR_SortedBy_RSRP_4,,,92.61270205702584
NR_Scan_SSB_SINR_SortedBy_RSRP_5,,,96.22258074524525
NR_Scan_SSB_SINR_SortedBy_RSRP_6,,,99.29570909993485
NR_UE_Ack_As_Nack_DL_0,97.28998670699342,97.00035597481478,
NR_UE_BLER_DL_0,97.28998670699342,97.00035597481478,
NR_UE_CCE_AggregationLev_0,97.29878695525306,97.07600062295593,
NR_UE_MCS_DL_0,97.28998670699342,97.00035597481478,
NR_UE_Modulation_Avg_DL_0,97.29322890372065,97.07210714841925,
NR_UE_NACK_Rate_DL_0,97.28998670699342,97.00035597481478,
NR_UE_NACK_Rate_UL_0,97.28396548449997,96.96142122944802,
NR_UE_Nbr_PCI_0,98.04078683482861,97.876387745567,
NR_UE_Nbr_PCI_1,99.23484157237277,99.24633457182904,
NR_UE_Nbr_PCI_2,99.8712384728327,99.87874607871493,
NR_UE_Nbr_PCI_3,99.9847153582859,99.98998820833425,
NR_UE_Nbr_PCI_4,99.99907365807793,99.9994437893519,
NR_UE_Nbr_RSRP_0,98.04078683482861,97.876387745567,
NR_UE_Nbr_RSRP_1,99.23484157237277,99.24633457182904,
NR_UE_Nbr_RSRP_2,99.8712384728327,99.87874607871493,
NR_UE_Nbr_RSRP_3,99.9847153582859,99.98998820833425,
NR_UE_Nbr_RSRP_4,99.99907365807793,99.9994437893519,
NR_UE_Nbr_RSRQ_0,98.04078683482861,97.876387745567,
NR_UE_Nbr_RSRQ_1,99.23484157237277,99.24633457182904,
NR_UE_Nbr_RSRQ_2,99.8712384728327,99.87874607871493,
NR_UE_Nbr_RSRQ_3,99.9847153582859,99.98998820833425,
NR_UE_Nbr_RSRQ_4,99.99907365807793,99.9994437893519,
NR_UE_PCI_0,96.96530386330899,96.35737646561505,
NR_UE_Pathloss_DL_0,97.28906036507135,96.97643891694663,
NR_UE_Power_Tx_PRACH_0,99.97730462290936,99.96495872916991,
NR_UE_Power_Tx_PUSCH_0,97.28906036507135,96.97643891694663,
NR_UE_RACH_Attempt,0.0,0.0,
NR_UE_RACH_Fail,66.42936874429721,0.0,
NR_UE_RACH_OK,0.0,0.0,
NR_UE_RACH_Procedure_Count,99.97359925522109,99.95605935880036,
NR_UE_RB_Num_DL_0,97.28998670699342,97.00035597481478,
NR_UE_RI_DL_0,94.61934294567467,94.18426146350146,
NR_UE_RRCConnectionAttempt,66.42936874429721,0.0,
NR_UE_RRCConnectionComplete,66.42936874429721,66.73415355863573,
NR_UE_RRCConnectionDrop,66.42936874429721,0.0,
NR_UE_RRCConnectionSetupOk,66.42936874429721,0.0,
NR_UE_RRCHOAttempt,0.0,0.0,
NR_UE_RRCHOOK,0.0,0.0,
NR_UE_RRCReEstAttempt,66.42936874429721,0.0,
NR_UE_RRCReEstFail,66.42936874429721,0.0,
NR_UE_RRCReEst_EndResult,99.99953682903897,99.99555031481523,
NR_UE_RSRP_0,97.29878695525306,96.9308296438027,
NR_UE_RSRQ_0,97.29878695525306,96.9308296438027,
NR_UE_SINR_0,97.30341866486339,96.96142122944802,
NR_UE_Throughput_PDCP_DL,97.25802791068212,96.85407257436538,
NR_UE_Throughput_RLC_UL,,97.10659220860124,
NR_UE_Timing_Advance,99.97359925522109,99.95605935880036,
Technology_Mode,0.0,0.0,
Time,0.0,0.0,0.0
Unnamed: 12,,,100.0
Unnamed: 13,,,100.0
Unnamed: 15,100.0,100.0,
Unnamed: 20,100.0,100.0,100.0
Unnamed: 21,,,100.0
Unnamed: 25,100.0,100.0,
Unnamed: 27,,100.0,
Unnamed: 28,,,100.0
Unnamed: 29,,100.0,100.0
Unnamed: 43,100.0,,
Unnamed: 45,100.0,,
Unnamed: 46,100.0,,
Unnamed: 47,100.0,,
Unnamed: 48,100.0,100.0,
Unnamed: 49,100.0,,
Unnamed: 50,100.0,100.0,
Unnamed: 51,100.0,100.0,
Unnamed: 52,100.0,,
Unnamed: 55,,100.0,
Unnamed: 57,,100.0,
