Latitude,Longitude,NR_Scan_PCI_SortedBy_RSRP_0,NR_Scan_PCI_SortedBy_RSRP_1,NR_Scan_PCI_SortedBy_RSRP_2,NR_Scan_PCI_SortedBy_RSRP_3,NR_Scan_PCI_SortedBy_RSRP_4,NR_Scan_PCI_SortedBy_RSRP_5,NR_Scan_PCI_SortedBy_RSRP_6,NR_Scan_SSB_RSRP_SortedBy_RSRP_0,NR_Scan_SSB_RSRP_SortedBy_RSRP_1,NR_Scan_SSB_RSRP_SortedBy_RSRP_2,NR_Scan_SSB_RSRP_SortedBy_RSRP_3,NR_Scan_SSB_RSRP_SortedBy_RSRP_4,NR_Scan_SSB_RSRP_SortedBy_RSRP_5,NR_Scan_SSB_RSRP_SortedBy_RSRP_6,NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,NR_Scan_SSB_SINR_SortedBy_RSRP_0,NR_Scan_SSB_SINR_SortedBy_RSRP_1,NR_Scan_SSB_SINR_SortedBy_RSRP_2,NR_Scan_SSB_SINR_SortedBy_RSRP_3,NR_Scan_SSB_SINR_SortedBy_RSRP_4,NR_Scan_SSB_SINR_SortedBy_RSRP_5,NR_Scan_SSB_SINR_SortedBy_RSRP_6
41.10723,29.02949,48.0,,,,,,,-82.98,,,,,,,-11.62,,,,,,,5.8,,,,,,
41.10723,29.02949,48.0,76.0,,,,,,-78.11,-96.24,,,,,,-10.77,-28.9,,,,,,14.31,-18.22,,,,,
41.10723,29.02949,48.0,,,,,,,-81.01,,,,,,,-10.92,,,,,,,11.23,,,,,,
41.10723,29.02949,48.0,,,,,,,-79.17,,,,,,,-10.87,,,,,,,12.03,,,,,,
41.10723,29.02949,48.0,,,,,,,-85.26,,,,,,,-12.11,,,,,,,3.85,,,,,,
41.10723,29.02949,48.0,,,,,,,-80.81,,,,,,,-10.96,,,,,,,10.71,,,,,,
41.10723,29.02949,48.0,,,,,,,-83.93,,,,,,,-11.34,,,,,,,7.35,,,,,,
41.10723,29.02949,48.0,,,,,,,-87.3,,,,,,,-12.33,,,,,,,3.12,,,,,,
41.10723,29.02949,48.0,,,,,,,-85.96,,,,,,,-11.45,,,,,,,6.71,,,,,,
41.10723,29.02949,48.0,76.0,59.0,,,,,-82.52,-92.67,-104.59,,,,,-11.11,-21.26,-33.19,,,,,9.17,-10.25,-22.55,,,,
41.10723,29.02949,48.0,76.0,,,,,,-81.64,-93.47,,,,,,-10.97,-22.81,,,,,,10.52,-11.92,,,,,
41.10722,29.02947,48.0,76.0,,,,,,-82.59,-90.56,,,,,,-11.35,-19.32,,,,,,7.26,-8.08,,,,,
41.10722,29.02947,48.0,76.0,,,,,,-80.67,-89.85,,,,,,-11.16,-20.35,,,,,,8.64,-9.24,,,,,
41.10722,29.02947,48.0,76.0,,,,,,-84.82,-92.4,,,,,,-11.44,-19.02,,,,,,6.77,-7.72,,,,,
41.10724,29.02944,48.0,76.0,,,,,,-82.71,-89.63,,,,,,-11.46,-18.39,,,,,,6.61,-6.98,,,,,
41.10724,29.02944,48.0,76.0,,,,,,-80.06,-87.87,,,,,,-11.33,-19.14,,,,,,7.41,-7.88,,,,,
41.10724,29.02943,76.0,48.0,59.0,,,,,-83.98,-88.31,-102.28,,,,,-12.17,-16.48,-30.47,,,,,3.66,-4.58,-19.8,,,,
41.10724,29.02943,48.0,76.0,59.0,,,,,-82.5,-85.29,-101.36,,,,,-12.49,-15.28,-31.36,,,,,2.64,-2.86,-20.7,,,,
41.10725,29.02941,48.0,76.0,59.0,,,,,-83.48,-86.68,-99.12,,,,,-12.44,-15.64,-28.17,,,,,2.8,-3.39,-17.47,,,,
41.10726,29.02939,48.0,76.0,59.0,,,,,-82.06,-87.99,-98.56,,,,,-11.71,-17.64,-28.0,,,,,5.39,-6.07,-17.3,,,,
41.10726,29.02939,48.0,76.0,59.0,,,,,-80.44,-87.0,-97.14,,,,,-11.54,-18.11,-28.25,,,,,6.2,-6.64,-17.55,,,,
41.10726,29.02939,48.0,76.0,59.0,68.0,,,,-86.31,-90.75,-96.85,-108.65,,,,-12.33,-16.77,-22.86,-34.68,,,,3.15,-4.94,-11.98,-24.04,,,
41.10726,29.02939,48.0,76.0,59.0,,,,,-78.54,-88.16,-94.97,,,,,-11.18,-20.8,-27.62,,,,,8.53,-9.75,-16.91,,,,
41.10727,29.02938,48.0,76.0,59.0,,,,,-81.36,-87.49,-97.32,,,,,-11.68,-17.8,-27.64,,,,,5.53,-6.27,-16.94,,,,
41.10727,29.02936,48.0,76.0,59.0,,,,,-81.83,-90.18,-98.18,,,,,-11.34,-19.69,-27.69,,,,,7.39,-8.5,-16.98,,,,
41.10727,29.02936,48.0,76.0,59.0,,,,,-81.29,-85.31,-97.31,,,,,-12.17,-16.18,-28.18,,,,,3.64,-4.16,-17.48,,,,
41.10728,29.02934,48.0,76.0,59.0,,,,,-80.53,-89.18,-96.02,,,,,-11.3,-19.96,-26.79,,,,,7.65,-8.8,-16.07,,,,
41.10728,29.02932,48.0,76.0,59.0,,,,,-80.33,-87.07,-97.83,,,,,-11.53,-18.28,-29.04,,,,,6.24,-6.84,-18.36,,,,
41.10728,29.02932,48.0,76.0,59.0,,,,,-81.31,-86.16,-96.56,,,,,-11.96,-16.82,-27.22,,,,,4.37,-5.01,-16.5,,,,
41.10727,29.0293,48.0,76.0,59.0,,,,,-81.94,-87.7,-98.35,,,,,-11.73,-17.5,-28.15,,,,,5.28,-5.89,-17.46,,,,
41.10726,29.02927,48.0,76.0,59.0,,,,,-81.7,-85.03,-96.91,,,,,-12.34,-15.68,-27.55,,,,,3.08,-3.45,-16.84,,,,
41.10726,29.02927,48.0,76.0,59.0,68.0,,,,-79.98,-93.29,-98.93,-106.74,,,,-10.89,-24.2,-29.84,-37.64,,,,11.81,-13.39,-19.17,-27.01,,,
41.10726,29.02927,48.0,76.0,59.0,68.0,,,,-83.27,-87.56,-98.0,-107.52,,,,-12.13,-16.43,-26.86,-35.99,,,,3.77,-4.49,-16.13,-25.36,,,
41.10725,29.02925,48.0,76.0,59.0,68.0,,,,-79.34,-83.38,-98.39,-105.98,,,,-12.11,-16.17,-31.17,-37.76,,,,3.82,-4.13,-20.51,-27.14,,,
