,0
NR_UE_Nbr_PCI_0,771.9129340300885
NR_UE_PCI_0,624.3802741777916
NR_UE_Nbr_PCI_1,539.9949066014727
NR_UE_Nbr_PCI_2,504.83833727242035
NR_UE_Nbr_RSRP_0,243.4774668678425
NR_UE_RSRP_0,230.2727031301617
NR_UE_Nbr_RSRP_1,190.34048628536817
NR_UE_Nbr_RSRP_2,144.16862997688492
NR_UE_SINR_0,102.85759426793967
NR_UE_Nbr_RSRP_3,74.22488636363636
NR_UE_Nbr_PCI_3,34.65530303030303
NR_UE_Nbr_RSRQ_0,29.74996693327797
NR_UE_Nbr_RSRQ_2,27.251107316313014
NR_UE_Nbr_RSRQ_1,25.923112590065745
NR_UE_Nbr_RSRQ_3,11.708295454545453
NR_UE_RSRQ_0,4.675898621933458
Longitude,6.914845215555488e-06
Latitude,3.211325256526626e-06
