,DL_Missing%,UL_Missing%,Scanner_Missing%
App_Throughput_DL,98.74310154525386,,
App_Throughput_UL,,98.69081059390048,
Latitude,0.0027593818984547464,0.003344034242910647,0.008931761343336906
Longitude,0.0027593818984547464,0.003344034242910647,0.008931761343336906
Message,0.0,0.0,0.0
NAS_5GS_MM_MessageType,99.97102649006622,99.9665596575709,
NAS_5GS_SM_MessageType,99.99724061810154,,
NR_RRC_MsgType,99.51296909492274,99.37466559657571,
NR_Scan_NR_ARFCN,,,65.65737763486959
NR_Scan_PCI_SortedBy_RSRP_0,,,71.39603429796357
NR_Scan_PCI_SortedBy_RSRP_1,,,77.34458735262594
NR_Scan_PCI_SortedBy_RSRP_2,,,85.52608074312255
NR_Scan_PCI_SortedBy_RSRP_3,,,93.28331546981065
NR_Scan_PCI_SortedBy_RSRP_4,,,97.07931404072883
NR_Scan_PCI_SortedBy_RSRP_5,,,98.55305466237942
NR_Scan_PCI_SortedBy_RSRP_6,,,99.73651304037156
NR_Scan_SSB_RSRP_SortedBy_RSRP_0,,,71.39603429796357
NR_Scan_SSB_RSRP_SortedBy_RSRP_1,,,77.34458735262594
NR_Scan_SSB_RSRP_SortedBy_RSRP_2,,,85.52608074312255
NR_Scan_SSB_RSRP_SortedBy_RSRP_3,,,93.28331546981065
NR_Scan_SSB_RSRP_SortedBy_RSRP_4,,,97.07931404072883
NR_Scan_SSB_RSRP_SortedBy_RSRP_5,,,98.55305466237942
NR_Scan_SSB_RSRP_SortedBy_RSRP_6,,,99.73651304037156
NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,,,71.39603429796357
NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,,,78.5101822079314
NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,,,87.3302965344766
NR_Scan_SSB_RSRQ_SortedBy_RSRP_3,,,94.75705609146124
NR_Scan_SSB_RSRQ_SortedBy_RSRP_4,,,97.65541264737406
NR_Scan_SSB_RSRQ_SortedBy_RSRP_5,,,99.16041443372633
NR_Scan_SSB_RSRQ_SortedBy_RSRP_6,,,99.88388710253662
NR_Scan_SSB_SINR_SortedBy_RSRP_0,,,71.39603429796357
NR_Scan_SSB_SINR_SortedBy_RSRP_1,,,77.38478027867095
NR_Scan_SSB_SINR_SortedBy_RSRP_2,,,85.57073954983923
NR_Scan_SSB_SINR_SortedBy_RSRP_3,,,93.35476956055734
NR_Scan_SSB_SINR_SortedBy_RSRP_4,,,97.10164344408717
NR_Scan_SSB_SINR_SortedBy_RSRP_5,,,98.56198642372276
NR_Scan_SSB_SINR_SortedBy_RSRP_6,,,99.73651304037156
NR_UE_Ack_As_Nack_DL_0,97.33167770419426,97.01879347244515,
NR_UE_BLER_DL_0,97.33167770419426,97.01879347244515,
NR_UE_CCE_AggregationLev_0,97.35375275938189,97.10741037988228,
