,0
Message,437761080.1666667
NR_UE_RACH_Attempt,0.0005653766954365287
NR_UE_RACH_OK,0.0005240293708753615
NR_UE_RRCHOAttempt,0.000427538954483575
NR_UE_RRCHOOK,0.000427538954483575
NR_UE_RRCConnectionSetupOk,8.277803023790116e-05
NR_UE_RRCConnectionAttempt,8.277803023790113e-05
NR_UE_RRCConnectionDrop,5.518687643468417e-05
NR_UE_RACH_Fail,4.1390728429544414e-05
NR_UE_RRCConnectionComplete,2.7594199688717134e-05
Longitude,1.4686787760942144e-05
NR_UE_RRCReEstAttempt,1.3797290212202318e-05
NR_UE_RRCReEstFail,1.3797290212202318e-05
Latitude,6.76268117273886e-06
