loc_key,SC_NR_Scan_PCI_SortedBy_RSRP_0,SC_NR_Scan_PCI_SortedBy_RSRP_1,SC_NR_Scan_SSB_RSRP_SortedBy_RSRP_0,SC_NR_Scan_SSB_RSRP_SortedBy_RSRP_2,SC_NR_Scan_SSB_RSRP_SortedBy_RSRP_1,SC_NR_Scan_NR_ARFCN,SC_NR_Scan_SSB_RSRQ_SortedBy_RSRP_0,SC_NR_Scan_SSB_SINR_SortedBy_RSRP_0,SC_NR_Scan_SSB_RSRQ_SortedBy_RSRP_2,SC_NR_Scan_SSB_SINR_SortedBy_RSRP_2,SC_NR_Scan_PCI_SortedBy_RSRP_2,SC_NR_Scan_SSB_SINR_SortedBy_RSRP_1,SC_NR_Scan_SSB_RSRQ_SortedBy_RSRP_1,SC_Latitude,SC_Longitude
41.09889_29.02538,278.0,38.0,-98.245,-125.78999999999999,-105.52,645526.6666666666,-11.035,11.375,-38.425,-27.805,246.0,-6.8,-18.28,41.09889,29.02538
41.09889_29.02548,278.0,38.0,-97.7225,-126.3075,-104.36749999999999,642777.6,-11.32,8.9375,-37.126666666666665,-27.560000000000002,246.0,-3.7175000000000002,-16.14,41.09889,29.025480000000005
41.09889_29.02557,278.0,38.0,-97.75,-122.94333333333333,-103.07,643296.0,-11.136666666666665,11.263333333333334,-36.169999999999995,-25.540000000000003,246.0,-4.550000000000001,-16.46666666666667,41.09889,29.02557
41.09891_29.02521,278.0,38.0,-100.17500000000001,-127.45500000000001,-106.36,643296.0,-11.094999999999999,10.675,-38.894999999999996,-28.275,246.0,-2.165,-15.195,41.09891,29.02521
41.09891_29.02575,278.0,38.0,-98.015,-125.97,-103.35499999999999,643296.0,-11.545,6.44,-37.995000000000005,-27.369999999999997,246.0,-0.1299999999999999,-15.555,41.09891,29.02575
41.09892_29.02512,278.0,38.0,-98.77333333333333,-124.37666666666667,-106.31333333333333,644969.0,-10.706666666666665,16.276666666666667,-25.563333333333333,-14.786666666666667,246.0,-5.056666666666666,-16.87,41.09892,29.02512
41.09892_29.02584,278.0,38.0,-97.2575,-123.04750000000001,-101.2575,642777.6,-11.682500000000001,6.51,-27.32,-16.5075,246.0,1.025,-13.5625,41.09892,29.02584
41.09893_29.02592,278.0,38.0,-96.78,-121.68,-102.20500000000001,643296.0,-12.34,5.505,-35.485,-24.85,246.0,-5.359999999999999,-17.76,41.09893,29.02592
41.09894_29.02504,278.0,38.0,-97.814,-124.45599999999999,-107.63799999999999,642864.0,-10.686,17.934,-31.226,-20.558,246.0,-3.2039999999999997,-15.969999999999999,41.09894,29.02504
41.09894_29.02601,278.0,38.0,-96.8775,-122.485,-100.2,644634.4,-11.735000000000001,8.432500000000001,-30.2275,-19.515,246.0,-1.2200000000000002,-14.397499999999999,41.09894,29.026009999999996
