loc_key,UL_NR_UE_PCI_0,UL_NR_UE_Throughput_RLC_UL,UL_NR_UE_Power_Tx_PUSCH_0,UL_App_Throughput_UL,UL_NR_UE_NACK_Rate_UL_0,UL_NR_UE_RSRP_0,UL_NR_UE_Nbr_PCI_0,UL_NR_UE_RSRQ_0,UL_NR_UE_Nbr_RSRP_0,UL_NR_UE_Nbr_RSRQ_0,UL_NR_UE_Nbr_RSRP_1,UL_NR_UE_SINR_0,UL_NR_UE_Nbr_PCI_1,UL_NR_UE_Nbr_RSRQ_1,UL_NR_UE_Timing_Advance,UL_Latitude,UL_Longitude,UL_NR_UE_PCI_0_lat,UL_NR_UE_PCI_0_lon,UL_NR_UE_PCI_0_azimuth,UL_NR_UE_PCI_0_height,UL_NR_UE_Nbr_PCI_0_lat,UL_NR_UE_Nbr_PCI_0_lon,UL_NR_UE_Nbr_PCI_0_azimuth,UL_NR_UE_Nbr_PCI_0_height,UL_NR_UE_Nbr_PCI_1_lat,UL_NR_UE_Nbr_PCI_1_lon,UL_NR_UE_Nbr_PCI_1_azimuth,UL_NR_UE_Nbr_PCI_1_height
41.09889_29.02538,218,,,,,-104.3,68,-10.6,-128.6,-15.7,-103.9,,278,-10.7,,41.09889,29.02538,0.0,0.0,0.0,0.0,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0
41.09889_29.02557,138,,,,,-200.0,0,-30.0,-200.0,-30.0,-200.0,,0,-30.0,,41.09889,29.02557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09892_29.02584,81,,,,,-99.5,278,-10.65,-104.1,-11.149999999999999,-200.0,,0,-30.0,,41.09892,29.025840000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895_29.02497,224,,,,,-108.43333333333334,38,-10.6,-110.03333333333335,-12.5,-200.0,6.1,0,-30.0,,41.09895,29.024970000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895_29.0254,68,,22.5,0.0,48.6,-132.4,40,-20.2,-131.0,-19.0,-200.0,-9.3,0,-30.0,,41.09895,29.0254,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0
41.09895_29.02551,68,0.89,22.5,0.0,51.8,-137.55,40,-25.25,-134.0,-21.4,-200.0,,0,-30.0,,41.09895,29.02551,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0
41.09895_29.02557,68,,,,,-134.7,0,-22.4,-200.0,-30.0,-200.0,,0,-30.0,,41.09895,29.02557,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09895_29.02564,68,9.3,22.5,0.0,49.3,-136.7,0,-24.3,-200.0,-30.0,-200.0,,0,-30.0,,41.09895,29.02564,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896_29.02529,68,9.57,22.5,0.0,44.26666666666667,-132.86666666666667,40,-20.866666666666664,-132.9,-20.9,-200.0,-7.633333333333333,0,-30.0,,41.09896,29.02529,41.1054694,29.0278333,255.0,18.0,41.1070873,29.0226646,260.0,10.0,0.0,0.0,0.0,0.0
41.09896_29.02569,68,,,,,-142.5,0,-29.9,-200.0,-30.0,-200.0,,0,-30.0,,41.09896,29.02569,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09896_29.02575,68,7.48,22.5,0.0,58.5,-141.8,0,-29.0,-200.0,-30.0,-200.0,,0,-30.0,,41.09896,29.02575,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.09897_29.02587,68,,22.5,0.0,42.5,-132.95,0,-21.0,-200.0,-30.0,-200.0,-6.4,0,-30.0,,41.09897,29.025870000000005,41.1054694,29.0278333,255.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
